track_id,genre,lyrics
TRJTWMO128F4266632,Country,1:22 2:13 4:18 5:5 6:30 8:15 9:5 11:8 12:4 13:4 15:4 17:4 20:5 25:8 27:1 31:5 33:3 35:1 37:5 45:1 51:3 54:1 67:15 106:15 123:5 127:8 129:1 133:3 166:1 212:15 230:15 239:1 242:1 268:3 294:1 303:1 333:3 337:3 340:3 446:1 449:3 453:3 489:1 495:3 561:3 602:4 636:40 645:3 704:1 802:3 1232:3 1503:1 1640:3 3213:3 3703:4 4739:1
TRMBBVB128F42AD1E2,Country,1:7 2:8 4:6 5:5 8:3 10:2 11:2 13:5 15:1 16:1 23:1 25:2 26:1 27:7 28:1 29:2 35:1 36:1 40:1 69:1 92:1 100:5 103:1 126:3 127:2 142:1 165:1 200:2 212:1 225:4 230:1 249:1 256:1 270:1 326:1 358:1 416:1 481:1 484:1 551:3 575:6 806:3 1017:1 1131:1 1867:1 2852:1 2914:1
TRNJOQU12903D0EE0E,Country,1:12 2:2 3:17 4:8 5:2 7:10 8:1 9:5 12:5 16:3 18:1 20:4 21:8 22:2 23:1 25:6 26:4 27:4 29:1 32:3 33:6 34:2 35:4 36:2 39:3 40:4 41:1 48:3 61:2 63:1 64:1 66:4 67:1 70:2 82:1 86:1 94:1 105:2 106:1 131:1 147:1 153:2 160:1 195:1 223:1 240:1 355:1 356:2 366:1 367:1 394:4 612:2 1008:4 1116:1 1131:2 1304:2
TRZDIFQ128E078EA8E,Country,1:14 2:9 3:21 4:1 5:2 7:11 9:3 15:1 16:6 18:1 20:6 21:1 23:4 24:1 28:7 29:3 32:4 33:1 34:2 35:1 44:1 46:4 51:4 62:4 73:5 83:4 86:2 96:5 100:5 110:1 127:4 153:1 168:2 172:2 186:1 193:1 216:2 224:3 233:1 245:3 277:2 336:2 347:4 367:1 406:4 508:2 670:2 762:1 1409:2 3601:2
TRQTXUO128F935EC22,Country,1:4 5:2 6:5 9:2 10:6 11:5 15:2 16:2 23:2 24:1 25:4 27:2 29:1 31:2 39:4 43:1 49:3 56:3 68:5 81:1 93:1 99:1 109:2 137:1 141:1 242:1 255:1 398:1 431:1 458:1 471:1 525:1 717:1 770:1 893:1 930:1 954:1 1040:1 1051:1 1224:1 1686:2 1730:1 1825:1 2190:1 3636:4 4530:1
TRGGPNT128F935ADA5,Country,1:12 2:3 3:9 4:3 5:6 6:1 11:3 16:1 19:2 22:1 23:2 25:1 26:1 27:8 31:3 35:1 54:2 58:7 65:2 68:1 78:1 84:2 85:1 93:1 108:1 119:1 124:1 127:1 148:1 168:1 173:1 190:1 197:1 203:7 222:2 252:1 258:1 292:1 308:7 331:1 339:1 344:1 449:1 520:1 573:1 766:1 837:1 1032:1 1112:1 1152:1 1747:1 2723:1 3998:1
TRXAUPI128F42906E8,Country,1:16 2:2 4:2 5:5 6:3 7:1 8:1 9:1 10:1 11:1 15:1 16:2 20:12 26:1 28:1 29:2 31:5 34:1 36:1 45:1 63:1 65:1 78:1 79:1 80:1 83:1 103:1 111:1 122:1 127:1 138:4 147:1 159:1 212:3 231:1 295:1 301:1 329:1 332:1 389:1 415:1 460:1 864:1 869:1 870:4 1109:1 1209:3 2631:1 2643:1
TRIODFG128F42BC4FB,Country,2:4 3:21 4:13 6:2 8:4 9:2 12:2 14:1 15:2 16:3 18:5 21:1 22:1 23:3 27:2 34:9 35:2 49:1 52:3 67:2 81:4 83:4 92:3 96:9 105:3 110:2 123:2 131:2 182:3 197:4 210:1 217:4 244:1 264:6 271:2 324:4 372:3 392:2 396:2 431:1 535:3 1131:14
TREAEWV12903CA8B13,Country,1:1 2:11 3:2 5:1 10:2 11:2 12:2 18:1 20:1 50:4 60:5 139:1 159:5 310:5 461:2 563:5 942:1 2715:3
TRENDIC128E0787EE9,Country,1:5 24:2 28:1 112:1 181:2 223:1 421:3 463:3 474:2 556:3 696:1 710:4 896:1 897:5 937:1 978:3 1022:4 1072:3 1114:3 1328:4 1418:1 1639:1 2010:1 2226:1 2245:1 2297:1 2414:1 2577:14 2600:1 2700:1 2843:1 3149:2 3695:2 4213:1 4223:1 4348:1 4502:1 4643:1
